2020-05-07 17:02:19 pid:6327 Workerman[index.php] start in DEBUG mode
2020-05-07 17:02:19 pid:6327 worker[none:6328] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6330] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6331] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6332] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6333] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6334] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6335] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6336] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6337] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6338] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6339] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6340] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6341] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6342] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6343] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6344] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6345] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6346] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6347] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6348] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6349] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6350] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6351] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6352] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6353] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6354] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6355] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6356] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6357] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6358] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6359] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6360] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6361] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6362] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6363] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6364] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6365] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6366] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6367] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6368] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6369] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6370] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6371] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6372] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6373] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6374] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6375] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6376] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6377] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6378] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6379] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6380] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6381] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6382] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6383] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6384] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6385] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6386] exit with status 65280
2020-05-07 17:02:19 pid:6327 worker[none:6387] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6388] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6389] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6390] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6391] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6392] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6393] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6394] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6395] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6396] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6397] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6398] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6399] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6400] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6401] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6402] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6403] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6404] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6405] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6406] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6407] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6408] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6409] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6410] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6411] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6412] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6413] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6414] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6415] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6416] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6417] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6418] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6419] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6420] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6421] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6422] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6423] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6424] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6425] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6426] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6427] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6428] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6429] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6430] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6431] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6432] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6433] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6434] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6435] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6436] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6437] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6438] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6439] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6440] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6441] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6442] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6443] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6444] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6445] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6446] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6447] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6448] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6449] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6450] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6451] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6452] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6453] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6454] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6455] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6456] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6457] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6458] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6459] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6460] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6461] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6462] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6463] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6464] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6465] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6466] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6467] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6468] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6469] exit with status 65280
2020-05-07 17:02:20 pid:6327 worker[none:6470] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6471] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6472] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6473] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6474] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6475] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6476] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6477] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6478] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6479] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6480] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6481] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6482] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6483] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6484] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6485] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6486] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6487] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6488] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6489] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6490] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6491] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6492] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6493] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6494] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6495] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6496] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6497] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6498] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6499] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6500] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6501] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6502] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6503] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6504] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6505] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6506] exit with status 65280
2020-05-07 17:02:21 pid:6327 worker[none:6507] exit with status 65280
